No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date
2678,MBVT,"Merchants Bancshares, Inc.",Financial,Regional - Northeast Banks,USA,339.14M,23.14,-,4.63,5.68,2.20,3.86,23.72,2.25%,51.80%,2.15,9.20%,-,-1.70%,5.00%,0.60%,26.70%,9.50%,6.81M,5.88M,3.60%,0.00%,45.10%,0.23%,5.11%,14.57,0.80%,9.50%,27.30%,-,-,0.16,0.16,-,90.60%,24.90%,2.47%,4.40%,-4.51%,15.81%,65.89%,-8.12%,0.90,1.02,2.08%,1.87%,2.93%,0.58%,14.33%,-5.50%,7.79%,-9.12%,76.85%,54.89,-1.39%,0.20%,3.00,20.60K,1.12,49.80,-1.19%,"23,118",Apr 27/a,44.25,
2677,MBUU,"Malibu Boats, Inc.",Consumer Goods,"Recreational Goods, Other",USA,400.20M,20.53,13.90,1.37,1.51,15.89,15.45,11.06,-,0.00%,1.12,7.70%,10.39%,83.40%,15.00%,20.40%,36.60%,11.90%,17.37M,17.32M,1.60%,-21.99%,98.30%,0.28%,6.75%,7.31,9.30%,138.60%,28.50%,1.50,0.90,2.14,2.14,26.40%,14.40%,7.60%,3.09%,3.13%,28.21%,57.38%,30.83%,20.75%,-,0.68,3.02%,2.90%,3.31%,6.37%,31.58%,-2.99%,14.03%,-2.99%,102.46%,59.01,-1.92%,0.26%,1.90,159.92K,0.53,23.04,-1.66%,"84,135",May 03/b,23.17,
2676,MBTF,MBT Financial Corp.,Financial,Regional - Northeast Banks,USA,258.16M,17.72,15.14,-,6.47,1.80,3.41,322.70,1.79%,11.00%,0.63,20.60%,22.31%,37.50%,-,-4.30%,-10.20%,0.00%,23.05M,17.54M,5.00%,-0.21%,49.90%,-0.15%,2.52%,7.79,1.10%,10.10%,23.80%,-,-,0.00,0.00,-,100.00%,36.40%,-2.61%,2.28%,3.23%,19.79%,26.17%,-1.32%,0.26,0.34,3.55%,2.91%,-1.95%,1.15%,11.98%,-7.44%,7.18%,-8.57%,61.66%,46.96,-3.86%,1.30%,2.50,56.73K,1.25,11.20,-2.61%,"70,862",Apr 27/a,12.25,
2675,MBT,Public Joint-Stock Company Mobile TeleSystems,Technology,Wireless Communications,Russia,9.39B,11.06,9.56,57.31,1.22,4.16,19.56,-,7.75%,-,0.93,-4.90%,7.58%,5.10%,0.19%,4.60%,-47.60%,-48.60%,909.89M,449.26M,-,-,34.10%,0.17%,0.57%,0.83,-,-,16.90%,0.70,0.60,1.72,2.08,59.70%,-,-,-0.58%,-8.99%,-4.27%,39.46%,22.09%,13.28%,1.09,0.27,1.84%,2.37%,-3.60%,-2.77%,14.78%,-10.96%,6.94%,-10.96%,48.60%,41.68,0.00%,-0.39%,2.50,3.07M,0.64,10.32,-0.39%,"1,966,242",May 18/b,11.47,
2674,MBRX,"Moleculin Biotech, Inc.",Healthcare,Biotechnology,USA,14.80M,-,-,-,-,0.73,2.96,-,-,-,-0.35,15.00%,-5.90%,-,-,-,-,-,16.26M,10.09M,-,-,9.90%,-,13.30%,1.43,-,-,-,3.90,3.90,0.00,0.02,-,-,-,3.41%,-18.02%,-54.95%,-74.44%,-,-60.09%,-,0.09,6.94%,9.38%,-0.92%,-13.07%,-72.53%,-39.74%,13.75%,-90.50%,13.75%,45.65,-1.09%,-1.08%,-,938.06K,0.13,0.91,-2.15%,"125,463",Apr 10/a,9.26,
2673,MBOT,Microbot Medical Inc.,Healthcare,Medical Instruments & Supplies,Israel,136.58M,-,-,-,-,34.00,50.58,-,-,-,-0.68,-867.70%,-,66.60%,-,-,-867.70%,-,26.78M,5.60M,4.50%,-,10.30%,0.73%,7.29%,0.92,-132.10%,331.30%,-,4.20,4.20,0.05,0.00,-,-,-,3.03%,-15.00%,0.99%,-38.41%,-86.11%,-16.39%,0.04,0.25,5.49%,4.99%,-1.89%,-10.92%,-32.75%,-48.69%,4.08%,-87.24%,71.72%,41.02,-0.20%,0.00%,2.00,442.73K,0.17,5.10,-0.20%,"75,099",-,198.00,
2672,MBLY,MOBILEYE N.V.,Technology,Application Software,Israel,13.76B,136.09,39.51,2.76,38.41,19.72,34.43,91.35,-,0.00%,0.46,58.20%,50.67%,55.90%,49.35%,79.60%,72.50%,45.70%,222.17M,180.12M,-,-,75.00%,0.15%,2.09%,0.58,15.50%,17.40%,14.90%,8.80,7.80,0.00,0.00,75.60%,33.80%,30.30%,0.41%,1.54%,42.67%,63.51%,56.44%,62.43%,-,0.22,0.27%,0.33%,0.41%,10.07%,36.12%,-0.05%,38.79%,-0.05%,83.79%,83.72,0.11%,-0.16%,3.00,6.49M,0.23,61.92,-0.05%,"1,525,359",May 24/b,61.15,
2671,MBII,"Marrone Bio Innovations, Inc.",Basic Materials,Agricultural Chemicals,USA,43.31M,-,-,-,3.09,-,4.51,-,-,-,-1.26,29.40%,40.20%,17.90%,-,21.70%,29.70%,42.10%,24.75M,19.85M,7.62%,2.72%,38.00%,-84.29%,3.96%,21.85,-56.90%,153.80%,-82.40%,1.80,1.20,-,-,32.20%,-,-,-1.13%,-23.25%,-21.88%,3.55%,124.36%,-18.22%,0.40,0.16,11.52%,9.64%,-3.61%,-9.17%,-4.68%,-23.91%,15.89%,-37.28%,191.67%,42.19,-1.69%,4.09%,2.70,36.02K,35.05,1.75,2.34%,"1,262,274",Mar 29/a,2.25,
2670,MBI,MBIA Inc.,Financial,Property & Casualty Insurance,USA,1.13B,-,31.11,-,3.78,0.34,6.04,-,-,-,-2.56,-340.80%,11.11%,17.60%,10.00%,-,-475.80%,-,134.52M,128.99M,3.40%,-6.28%,95.30%,0.09%,8.34%,5.94,-2.80%,-9.60%,-1.30%,-,-,1.71,1.71,-,-,-,-1.52%,1.82%,-20.90%,5.40%,7.14%,-21.50%,2.42,0.25,2.38%,3.11%,-3.53%,-8.12%,-7.54%,-22.87%,7.55%,-27.90%,32.49%,37.43,-1.52%,0.24%,2.50,1.81M,0.90,8.40,-1.29%,"1,632,454",May 31/a,11.63,
2669,MBFI,"MB Financial, Inc.",Financial,Regional - Midwest Banks,USA,3.48B,19.94,14.30,2.49,6.25,1.44,3.79,2322.46,1.79%,34.30%,2.13,5.60%,14.48%,32.50%,8.00%,7.70%,-5.20%,21.00%,81.95M,79.54M,1.50%,-4.52%,73.90%,-0.04%,3.01%,6.41,0.90%,7.40%,14.00%,-,-,0.21,0.21,-,89.40%,29.80%,2.81%,1.41%,-7.79%,17.48%,24.85%,-9.61%,1.11,1.23,2.70%,2.71%,2.20%,-1.52%,2.78%,-9.15%,8.44%,-11.92%,31.66%,51.18,-2.01%,0.67%,2.60,373.65K,1.78,42.51,-1.35%,"665,577",Apr 27/a,48.94,
2668,MB,"MINDBODY, Inc.",Technology,Application Software,USA,1.14B,-,162.93,-,8.23,11.29,13.31,-,-,-,-0.58,48.30%,254.50%,-,15.00%,-,59.10%,35.00%,40.34M,22.96M,1.40%,-83.93%,-,1.52%,12.50%,10.90,-16.10%,-22.60%,-18.50%,4.80,4.80,0.15,0.15,69.00%,-15.30%,-16.50%,3.47%,1.80%,12.28%,58.38%,103.23%,33.10%,-,0.74,2.13%,2.75%,4.21%,5.72%,29.96%,-1.39%,19.12%,-1.39%,138.04%,64.05,0.53%,0.00%,2.10,263.32K,1.19,28.35,0.53%,"312,414",May 04/a,29.67,
2667,MAYS,"J.W. Mays, Inc.",Financial,Property Management,USA,71.91M,42.74,-,-,3.78,1.47,14.38,34.24,-,0.00%,0.83,-31.30%,-,14.90%,-,4.60%,45.30%,4.30%,2.02M,0.63M,70.97%,-,3.70%,3.50%,0.07%,2.59,2.60%,3.50%,3.10%,2.20,2.20,0.13,0.14,45.70%,14.20%,8.80%,-10.33%,-11.11%,-14.22%,-20.00%,-31.54%,-16.24%,-0.25,0.56,1.26%,0.41%,-9.55%,-12.45%,-19.78%,-17.21%,0.00%,-38.48%,0.00%,13.28,0.00%,0.00%,-,0.17K,0.31,35.60,0.00%,0,-,-,
2666,MATX,"Matson, Inc.",Services,Shipping,USA,1.37B,17.11,17.07,3.42,0.70,2.90,98.29,-,2.40%,39.60%,1.85,-20.90%,15.34%,11.20%,5.00%,5.80%,-26.20%,5.00%,43.10M,42.46M,1.50%,-3.58%,86.20%,0.00%,2.59%,4.39,4.30%,17.80%,8.60%,1.00,1.00,1.50,1.57,16.60%,7.90%,4.10%,0.35%,2.19%,-13.74%,-19.93%,-18.30%,-10.43%,1.19,0.71,1.80%,2.14%,0.26%,-2.27%,-12.75%,-14.28%,5.67%,-26.28%,10.11%,46.31,-2.22%,-0.03%,2.00,250.62K,0.49,31.70,-2.25%,"123,975",May 03/a,43.50,
2665,MATW,Matthews International Corporation,Services,Personal Services,USA,2.17B,31.47,16.98,2.52,1.47,3.21,20.35,23.09,0.99%,29.20%,2.18,6.20%,10.63%,-3.80%,12.50%,10.50%,101.50%,-1.50%,31.59M,31.13M,2.80%,-0.92%,80.20%,0.11%,1.01%,3.06,3.40%,10.10%,5.70%,2.60,1.90,1.33,1.36,37.80%,8.50%,4.80%,1.72%,3.33%,-0.67%,16.76%,38.00%,-10.36%,1.01,1.66,2.41%,2.22%,2.64%,2.58%,4.54%,-5.58%,7.35%,-11.51%,38.44%,53.80,-3.11%,-2.28%,2.80,103.37K,1.43,68.55,-5.32%,"148,006",Apr 27/a,77.67,
2664,MATR,Mattersight Corporation,Technology,Application Software,USA,112.00M,-,-,-,2.66,-,8.96,-,-,-,-0.86,-22.30%,23.10%,7.90%,25.00%,7.70%,28.80%,21.20%,32.94M,26.54M,7.50%,5.81%,41.60%,0.07%,4.37%,17.31,-46.00%,-,-103.90%,1.70,1.70,-,-,67.20%,-44.10%,-51.20%,3.03%,-2.86%,-6.85%,-20.00%,-16.67%,-8.11%,0.28,0.17,5.79%,4.74%,-0.91%,-4.01%,-8.95%,-15.00%,11.66%,-26.88%,13.33%,47.40,3.03%,0.00%,2.00,66.91K,2.55,3.40,3.03%,"170,583",May 03/a,6.50,
2663,MATN,"Mateon Therapeutics, Inc.",Healthcare,Biotechnology,USA,19.07M,-,-,-,-,1.53,-,-,-,-,-0.51,13.70%,4.50%,-,-,-,-,-,26.54M,23.66M,-,-,-,-,2.80%,8.24,-,-,-,-,-,-,-,-,-,-,-7.90%,-1.57%,75.25%,28.31%,2.64%,98.29%,-,0.09,14.79%,11.92%,-7.94%,4.06%,24.82%,-19.18%,51.55%,-29.56%,164.16%,47.63,-4.20%,-2.72%,2.00,80.44K,1.74,0.72,-6.81%,"140,039",Mar 30,2.00,
2662,MAT,"Mattel, Inc.",Consumer Goods,Toys & Games,USA,7.68B,24.53,13.14,1.57,1.41,3.19,-,-,6.78%,164.40%,0.91,-14.70%,18.06%,-15.90%,15.65%,-2.70%,-20.40%,-8.30%,342.65M,341.47M,0.10%,16.14%,-,-0.51%,6.33%,3.81,5.10%,13.20%,9.00%,2.00,1.50,0.89,0.97,46.80%,9.50%,5.80%,2.89%,-11.59%,-14.10%,-27.99%,-24.70%,-17.41%,0.85,0.61,2.19%,2.34%,-8.50%,-10.60%,-22.28%,-14.75%,4.04%,-32.23%,4.04%,32.36,-0.13%,-0.53%,2.20,5.67M,0.92,22.42,-0.66%,"5,191,792",Apr 20/a,29.70,
2661,MASI,Masimo Corporation,Healthcare,Medical Appliances & Equipment,USA,5.15B,18.39,40.87,1.23,7.42,9.17,16.83,13.13,-,0.00%,5.59,264.40%,7.80%,40.10%,15.00%,9.60%,772.20%,9.50%,50.14M,46.62M,0.60%,-81.26%,81.60%,0.04%,5.95%,3.09,44.80%,82.60%,54.10%,2.30,2.00,0.00,0.00,66.80%,60.60%,43.30%,5.34%,9.84%,41.55%,81.94%,141.51%,52.43%,1.06,1.50,1.31%,1.50%,7.75%,10.44%,47.39%,0.73%,35.10%,0.73%,145.61%,80.33,0.82%,0.04%,2.60,897.67K,0.80,102.74,0.86%,"718,384",May 03/a,85.50,
2660,MAS,Masco Corporation,Industrial Goods,General Building Materials,USA,11.85B,25.15,17.48,1.21,1.61,-,9.95,28.34,1.08%,26.20%,1.47,42.40%,13.26%,25.30%,20.80%,-0.30%,32.50%,2.60%,320.00M,318.05M,0.40%,-3.88%,92.50%,-0.81%,1.83%,1.66,8.70%,-303.60%,28.00%,2.00,1.50,-,-,33.40%,14.30%,6.60%,7.80%,9.30%,11.43%,21.72%,20.26%,17.79%,1.50,0.65,1.50%,1.61%,8.34%,8.91%,11.14%,-1.49%,12.62%,-1.49%,28.73%,71.50,-0.48%,-0.13%,1.90,3.49M,1.16,37.02,-0.62%,"4,057,008",Apr 25/b,38.18,
2659,MARPS,Marine Petroleum Trust,Financial,Diversified Investments,USA,7.48M,12.78,-,-,9.35,9.30,8.31,-,6.25%,95.10%,0.31,-62.50%,-,-26.00%,-,-23.40%,12.30%,0.00%,1.87M,1.62M,19.00%,0.00%,1.80%,-9.86%,0.02%,0.12,73.50%,73.50%,88.50%,-,-,0.00,0.00,-,74.20%,76.50%,1.66%,-9.11%,-26.68%,10.25%,-17.06%,-24.67%,1.99,0.30,6.43%,6.47%,-0.50%,-9.30%,-2.46%,-28.83%,11.11%,-30.08%,39.88%,46.36,10.80%,-9.75%,-,2.54K,5.93,4.00,0.00%,"15,053",May 16/b,-,
2658,MARK,"Remark Media, Inc.",Technology,Internet Information Providers,USA,69.05M,-,-,-,1.16,-,9.09,-,-,-,-1.54,25.00%,20.80%,-4.20%,-,64.10%,45.40%,27.10%,22.79M,14.57M,0.20%,-56.83%,15.80%,5.84%,1.63%,4.80,-31.10%,-867.10%,-91.50%,0.50,0.50,-,-,81.20%,-53.40%,-53.40%,-2.26%,0.66%,-4.69%,-25.37%,-34.98%,-22.70%,1.79,0.15,3.52%,5.61%,1.93%,0.72%,-20.33%,-12.91%,14.34%,-37.53%,14.34%,50.97,1.34%,1.01%,2.00,49.56K,0.95,3.03,2.36%,"47,039",Mar 30/a,8.00,
2657,MARA,"Marathon Patent Group, Inc.",Services,Business Services,USA,9.77M,-,3.38,-,0.27,-,1.95,1.50,-,-,-1.85,-58.40%,14.29%,-,50.00%,-,-519.60%,-97.20%,18.09M,16.02M,29.31%,0.00%,12.90%,0.04%,2.93%,2.12,-76.70%,-371.60%,-265.70%,0.30,0.30,-,-,48.00%,-42.70%,-78.30%,-9.97%,-44.33%,-71.57%,-75.67%,-70.32%,-68.60%,1.31,0.10,7.12%,13.02%,-29.29%,-48.04%,-73.04%,-64.93%,3.87%,-84.30%,3.87%,27.50,-8.46%,0.02%,2.00,221.47K,0.48,0.54,-8.44%,"106,809",Mar 30/a,5.00,
2656,MAR,"Marriott International, Inc.",Services,Lodging,USA,35.61B,35.18,20.59,2.47,2.09,6.85,41.50,35.29,1.27%,42.20%,2.68,-16.20%,16.37%,37.00%,14.23%,6.70%,-19.50%,47.20%,377.14M,313.41M,4.00%,-4.25%,67.60%,-0.05%,3.31%,4.13,5.00%,76.70%,7.00%,0.70,0.70,1.53,1.59,15.40%,8.00%,4.60%,2.11%,-0.18%,10.06%,42.62%,38.58%,14.59%,1.21,1.51,1.61%,1.45%,1.77%,4.49%,19.95%,-2.48%,10.27%,-2.48%,56.93%,59.80,-1.55%,0.18%,2.30,2.52M,1.14,94.42,-1.38%,"2,859,766",May 08/a,96.23,
2655,MANU,Manchester United plc,Services,Sporting Activities,United Kingdom,2.68B,67.35,0.97,336.73,3.91,4.53,17.10,-,1.09%,98.40%,0.25,-52.50%,61.45%,-55.60%,0.20%,9.20%,-5.90%,18.00%,162.53M,32.01M,-,-,74.20%,0.07%,1.54%,14.00,2.20%,6.80%,5.90%,0.80,0.80,1.12,1.14,-,13.20%,5.90%,1.17%,-0.94%,4.35%,8.02%,-2.37%,16.43%,0.54,0.29,1.91%,1.61%,-0.49%,-0.59%,3.81%,-4.37%,3.70%,-5.94%,17.67%,49.01,0.00%,0.30%,2.00,35.25K,0.51,16.50,0.30%,"17,932",May 12/b,1520.19,
2654,MANT,ManTech International Corporation,Technology,Security Software & Services,USA,1.36B,24.13,22.95,7.76,0.85,1.10,21.02,25.60,2.37%,56.80%,1.47,8.20%,5.38%,-16.50%,3.11%,-11.00%,-4.10%,-2.00%,38.43M,25.54M,0.20%,-48.08%,96.50%,0.30%,1.60%,2.21,3.60%,4.60%,4.60%,2.20,2.20,0.00,0.00,14.50%,5.70%,3.50%,0.88%,1.72%,-10.31%,-9.40%,0.03%,-15.47%,1.32,0.76,2.16%,2.09%,2.10%,-0.83%,-8.85%,-12.85%,5.97%,-21.54%,10.85%,53.36,-0.89%,0.17%,3.20,184.89K,0.72,35.50,-0.73%,"132,961",May 03/a,38.67,
2653,MANH,"Manhattan Associates, Inc.",Technology,Application Software,USA,3.24B,26.97,22.10,1.80,5.36,19.54,33.90,24.46,-,0.00%,1.73,23.40%,10.80%,27.00%,15.00%,12.90%,18.10%,4.40%,69.42M,67.67M,0.60%,0.00%,-,-0.09%,4.76%,4.67,41.10%,70.40%,72.30%,1.80,1.80,0.00,0.00,58.70%,32.10%,20.50%,2.03%,-8.16%,-7.93%,-8.49%,-24.11%,-11.96%,1.13,1.14,1.79%,2.16%,-4.86%,-6.16%,-13.22%,-10.88%,2.68%,-31.87%,2.68%,36.89,-0.89%,0.26%,2.70,689.94K,1.07,46.69,-0.64%,"736,995",Apr 20/a,65.00,
2652,MAN,ManpowerGroup Inc.,Services,Staffing & Outsourcing Services,USA,6.84B,16.00,13.98,1.98,0.35,2.89,11.42,14.08,1.70%,27.00%,6.31,16.20%,8.93%,15.60%,8.10%,-2.20%,12.20%,0.00%,67.70M,67.31M,0.30%,-56.41%,93.60%,0.11%,2.17%,2.04,5.80%,18.10%,15.50%,1.40,1.40,0.33,0.35,17.00%,3.80%,2.30%,0.64%,-0.29%,7.79%,30.09%,30.95%,13.63%,1.48,2.54,2.39%,2.45%,0.37%,1.04%,19.38%,-5.62%,5.95%,-5.62%,78.12%,50.60,-1.01%,-0.06%,2.40,715.15K,0.69,100.98,-1.07%,"490,184",Apr 21/b,104.73,
2651,MAMS,"MAM Software Group, Inc.",Technology,Business Software & Services,United Kingdom,76.56M,21.19,26.04,-,2.41,12.25,127.60,51.04,-,0.00%,0.30,27.70%,14.30%,9.20%,-,4.70%,-64.40%,-6.30%,12.25M,9.70M,20.90%,-5.41%,45.90%,-39.55%,0.11%,1.25,15.60%,64.80%,26.00%,0.80,0.80,1.15,1.47,55.30%,12.00%,10.90%,-2.19%,-0.79%,-5.45%,3.65%,13.64%,-3.25%,-0.08,0.17,1.74%,2.75%,-1.07%,-2.00%,0.21%,-19.56%,5.74%,-19.56%,19.96%,46.27,0.81%,-1.43%,3.00,8.23K,0.04,6.25,-0.63%,343,May 16/a,5.75,
2650,MAIN,Main Street Capital Corporation,Financial,Diversified Investments,USA,2.20B,15.10,17.05,2.16,12.32,1.78,89.67,-,5.54%,82.00%,2.65,25.40%,2.22%,-0.60%,7.00%,21.90%,497.80%,7.60%,54.87M,52.24M,5.40%,0.01%,26.10%,0.55%,2.83%,5.92,7.00%,12.30%,5.70%,-,-,0.71,0.71,81.10%,64.90%,77.90%,1.37%,5.79%,11.59%,17.18%,27.96%,8.89%,1.09,0.46,1.22%,1.06%,3.02%,5.70%,11.96%,-0.95%,9.40%,-0.95%,30.97%,72.52,-1.06%,0.20%,3.00,249.11K,1.88,40.04,-0.87%,"469,378",May 04/a,36.14,
2649,MAGS,Magal Security Systems Ltd.,Services,Security & Protection Services,Israel,155.24M,513.85,-,-,2.29,1.86,3.06,-,-,0.00%,0.01,-70.20%,-,-40.70%,-,-5.20%,-19.00%,5.20%,23.24M,13.04M,47.90%,0.00%,13.30%,0.42%,3.86%,2.49,1.20%,1.60%,2.00%,3.80,3.40,0.00,0.00,49.00%,2.20%,1.50%,-0.45%,-14.90%,-1.18%,50.79%,38.59%,31.76%,0.91,0.28,2.59%,3.91%,-3.29%,-3.53%,17.58%,-16.50%,8.09%,-16.50%,63.73%,45.79,-1.76%,-0.73%,3.00,201.92K,0.24,6.68,-2.48%,"48,215",Mar 29/b,-,
2648,MAG,MAG Silver Corp.,Industrial Goods,Industrial Electrical Equipment,USA,998.86M,-,-,-,-,5.61,7.19,-,-,-,-0.69,-192.70%,30.00%,-36.80%,-,-,-325.60%,-,81.74M,79.61M,21.80%,0.00%,43.40%,3.29%,2.46%,4.87,-25.60%,-26.20%,-,190.80,190.80,0.00,0.00,-,-,-,-2.86%,-11.26%,-11.39%,-15.43%,-2.47%,10.79%,0.89,0.57,5.18%,4.10%,-7.63%,-12.53%,-13.80%,-26.16%,7.76%,-32.56%,28.63%,33.87,2.52%,0.00%,2.20,401.50K,1.96,12.22,2.52%,"787,076",Apr 06/a,17.49,
2647,MACK,"Merrimack Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,434.80M,-,-,-,3.01,-,-,-,-,-,-1.22,8.90%,-21.30%,-5.70%,5.60%,33.40%,39.60%,186.00%,130.57M,123.43M,0.70%,0.00%,72.60%,-7.80%,19.89%,12.94,-111.80%,67.70%,322.00%,0.70,0.50,-,-,95.20%,-76.30%,-,6.73%,9.54%,8.12%,-34.96%,-54.32%,-18.38%,1.92,0.11,2.74%,4.00%,5.71%,6.48%,-25.50%,-3.20%,14.83%,-55.66%,17.67%,63.24,1.22%,0.30%,2.50,1.90M,0.46,3.33,1.52%,"871,075",May 31/b,9.00,
2646,MAC,The Macerich Company,Financial,REIT - Retail,USA,8.90B,17.62,84.14,-,8.55,2.19,94.66,-,4.55%,77.50%,3.54,14.40%,18.15%,15.50%,-0.11%,8.70%,-90.30%,-15.20%,142.53M,141.42M,0.30%,0.12%,-,-0.05%,5.43%,6.27,5.10%,12.00%,1.10%,-,-,1.21,1.21,61.00%,9.30%,49.60%,-4.03%,-2.45%,-7.21%,-14.72%,-15.70%,-10.93%,0.78,1.15,2.37%,1.61%,-3.47%,-3.97%,-13.46%,-8.47%,0.69%,-31.99%,0.69%,33.82,-0.43%,-0.02%,2.80,1.22M,1.27,62.43,-0.45%,"1,550,511",Apr 27/a,70.89,
2645,MAB,Eaton Vance Massachusetts Municipal Bond Fund,Financial,Asset Management,USA,24.71M,8.47,-,-,14.77,0.87,-,-,4.01%,-,1.65,-,-,0.00%,-,-,736.20%,-4.20%,1.77M,-,-,-,-,-,-,0.02,-,-,-,-,-,-,-,-,-,-,1.97%,3.83%,2.22%,-2.05%,-4.31%,5.49%,-,0.11,1.22%,0.68%,2.63%,3.26%,-0.56%,0.48%,5.85%,-9.82%,8.61%,70.87,0.29%,1.53%,3.00,4.37K,1.04,13.97,1.82%,"4,537",-,-,
2644,MAA,"Mid-America Apartment Communities, Inc.",Financial,REIT - Residential,USA,11.25B,36.79,36.55,5.26,9.99,1.37,335.71,-,3.51%,120.10%,2.70,-39.20%,18.36%,31.90%,7.00%,22.40%,-22.60%,16.70%,113.36M,112.84M,0.50%,-1.61%,93.90%,0.28%,1.31%,1.95,2.60%,5.50%,2.50%,-,-,0.70,0.70,68.80%,24.20%,18.80%,-2.03%,-1.93%,4.52%,9.07%,6.37%,3.10%,0.35,1.56,2.37%,1.45%,-2.09%,-1.23%,4.10%,-4.14%,3.93%,-6.64%,19.86%,39.79,1.97%,-0.72%,2.10,759.06K,1.43,99.21,1.23%,"1,085,667",Apr 26/a,106.44,
2643,MA,Mastercard Incorporated,Financial,Credit Services,USA,122.87B,31.55,23.46,2.10,11.40,22.41,14.74,37.63,0.76%,20.60%,3.69,10.10%,16.35%,20.00%,15.01%,9.90%,8.60%,9.50%,1.06B,941.73M,10.70%,-1.73%,79.30%,0.01%,0.67%,2.11,23.80%,70.00%,38.50%,1.80,1.80,0.92,0.92,-,53.50%,37.70%,1.79%,4.01%,6.11%,13.15%,20.67%,13.11%,1.22,1.25,0.81%,0.99%,2.76%,3.99%,11.84%,-0.84%,7.15%,-0.84%,35.04%,67.55,-0.40%,-0.26%,1.90,2.98M,1.19,116.32,-0.67%,"3,533,073",May 02/b,123.29,
2642,M,"Macy's, Inc.",Services,Department Stores,USA,8.93B,14.59,10.07,0.78,0.35,2.07,6.88,20.76,5.17%,73.90%,2.00,-38.10%,-16.13%,-7.40%,18.64%,-0.50%,-10.60%,-4.00%,305.50M,304.08M,0.30%,-3.08%,89.40%,-0.38%,5.44%,2.15,3.10%,15.20%,8.70%,1.40,0.40,1.52,1.59,39.40%,5.10%,2.40%,-0.88%,-0.17%,1.59%,-16.96%,-24.83%,-17.42%,0.80,0.69,1.81%,2.25%,-0.28%,-3.21%,-14.67%,-12.33%,5.41%,-34.26%,5.41%,45.19,-0.85%,-0.14%,2.80,7.69M,0.55,29.22,-0.98%,"4,248,784",May 23/b,34.75,
2641,LZB,La-Z-Boy Incorporated,Consumer Goods,Home Furnishings & Fixtures,USA,1.36B,17.30,15.27,0.99,0.90,2.37,-,14.64,1.58%,25.10%,1.61,21.20%,11.20%,28.10%,17.50%,5.10%,8.80%,1.60%,48.91M,47.80M,0.50%,-17.30%,88.80%,0.06%,3.00%,3.83,9.80%,14.40%,14.30%,2.60,1.60,0.00,0.00,39.50%,8.00%,5.30%,-0.36%,2.20%,-2.74%,23.30%,8.75%,-9.78%,0.78,0.63,2.23%,2.19%,2.06%,1.80%,0.91%,-5.84%,8.36%,-14.86%,27.26%,54.33,-0.53%,0.18%,2.30,373.95K,0.84,27.90,-0.36%,"312,390",May 23/a,34.00,
2640,LYV,"Live Nation Entertainment, Inc.",Services,Entertainment - Diversified,USA,6.54B,-,70.53,-,0.78,5.78,4.28,15.67,-,-,-0.27,28.80%,125.74%,12.60%,-,9.20%,-24.50%,3.50%,203.33M,133.39M,0.70%,-44.83%,65.20%,0.45%,4.42%,5.52,-0.70%,-3.90%,4.40%,1.10,1.10,2.01,2.05,27.20%,2.20%,-0.60%,2.91%,6.95%,14.45%,16.23%,48.00%,20.90%,0.83,0.40,1.23%,1.19%,3.20%,7.50%,15.37%,-0.65%,14.86%,-0.65%,51.63%,73.37,-0.09%,-0.09%,1.70,1.07M,0.67,32.16,-0.19%,"713,271",May 04/a,33.71,
2639,LYTS,LSI Industries Inc.,Industrial Goods,Industrial Electrical Equipment,USA,234.10M,49.03,15.91,1.96,0.73,1.46,7.09,101.78,2.21%,105.50%,0.19,77.20%,137.50%,-3.60%,25.00%,1.90%,-47.30%,1.20%,25.81M,24.32M,2.70%,-18.67%,83.30%,0.24%,1.72%,5.18,2.50%,3.10%,6.10%,3.60,2.40,0.00,0.00,24.80%,2.10%,1.50%,-2.37%,-6.40%,-9.00%,-11.79%,-27.62%,-6.38%,1.66,0.38,4.13%,3.88%,-4.81%,-6.73%,-8.49%,-15.07%,0.78%,-29.39%,12.30%,40.20,-1.84%,-0.65%,1.50,80.60K,2.97,9.07,-2.47%,"239,100",Apr 27/b,13.00,
